Date,Time,Location,Latitude,Longitude,Direction,Type,Lanes Blocked,Involved,Tweet,Source
8/20/2018,7:55 AM,ORTIGAS EMERALD,14.586343,121.061481,EB,VEHICULAR ACCIDENT,1,TAXI AND MC,MMDA ALERT: Vehicular accident at Ortigas Emerald EB  involving taxi and MC as of 7:55 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1031330201970532352
8/20/2018,8:42 AM,EDSA GUADIX,14.589432,121.057243,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Guadix NB as of 8:42 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031346247745990656
8/20/2018,9:13 AM,EDSA ROCKWELL,14.559818,121.040737,SB,VEHICULAR ACCIDENT,1,SUV AND L300,MMDA ALERT: Vehicular accident at EDSA Rockwell SB  involving SUV and L300 as of 9:13 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031358966989615104
8/20/2018,8:42 AM,EDSA GUADIX,14.589432,121.057243,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Guadix NB as of 8:42 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031359069653585920
8/20/2018,10:27 AM,ORTIGAS CLUB FILIPINO,14.601846,121.046754,EB,VEHICULAR ACCIDENT,1,2 CARS,MMDA ALERT: Vehicular accident at Ortigas Club Filipino EB  involving 2 Cars as of 10:27 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031371124842483712
8/20/2018,11:18 AM,C5 KALAYAAN,14.556079,121.062936,SB,VEHICULAR ON FIRE,1,BUS,MMDA ALERT: Vehicular on fire at C5 Kalayaan SB involving bus as of 11:18 AM. 1 lane occupied BFP on site. #mmda,https://twitter.com/mmda/status/1031385843796074496
8/20/2018,12:33 PM,EDSA ORTIGAS ROBINSONS,14.592515,121.058225,NB,VEHICULAR ACCIDENT,1,CAR AND BUS,MMDA ALERT: Vehicular accident at EDSA Ortigas Robinsons NB  involving Car and bus as of 12:33 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031400304917368832
8/20/2018,12:39 PM,EDSA LIGHT MALL,14.574014,121.04841,NB,MULTIPLE COLLISION,2,3 CARS,MMDA ALERT: Multiple collision at EDSA Light Mall NB involving 3 car's as of 12:39 PM. 2 lanes occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031402505031151617
8/20/2018,12:39 PM,EDSA LIGHT MALL,14.574014,121.04841,NB,MULTIPLE COLLISION,2,3 CARS,MMDA ALERT: Multiple collision at EDSA Light Mall NB involving 3 car's as of 12:39 PM. 2 lanes occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031405794124738560
8/20/2018,2:51 PM,EDSA FARMERS,14.619717,121.050978,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Farmers NB involving bus and car as of 2:51pm PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031435510793756673
8/20/2018,4:14 PM,C5 LANUZA,14.577625,121.073462,SB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1,TRUCK,MMDA ALERT: Stalled Truck due to mechanical problem at C5 Lanuza SB as of 4:14 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031454965225611264
8/20/2018,5:17 PM,C5 ATENEO KATIPUNAN,14.638481,121.07454,NB,MULTIPLE COLLISION C5ENEO KAT,1,"CLOSED VAN, TRUCK, CAR AND MC","MMDA ALERT: Multiple collision at C5 Ateneo Katipunan NB involving closed van, truck, car and MC as of 5:17 PM. 2 l… https://t.co/KV9s1aRW1s",https://twitter.com/mmda/status/1031481471083601920
8/20/2018,6:21 PM,EDSA BONI,14.638481,121.07454,NB,STALLED BUS DUE TO MECHANICAL DEFECT,1,BUS,MMDA ALERT: Stalled Bus due to mechanical defect at EDSA Boni NB as pf 6:21 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031487629357764608
8/20/2018,7:19 PM,MARCOS HIGHWAY LRT SANTOLAN,14.622242,121.086405,EB,VEHICULAR ACCIDENT,1,PUJ AND AUV,MMDA ALERT: Vehicular accident at Marcos Highway LRT Santolan EB involving PUJ and AUV as of 7:19PM. 1 lane occupie… https://t.co/fnFCyLIlmO,https://twitter.com/mmda/status/1031503746553901056
8/20/2018,7:44 PM,EDSA HERITAGE,14.537348,120.993593,NB,VEHICULAR ACCIDENT,1,TAXI AND TRUCK,MMDA ALERT: Vehicular accident at EDSA Heritage NB involving taxi and truck as of 7:44 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031510935356157953
8/20/2018,8:58 PM,C5 ORTIGAS FLYOVER,14.589706,121.079945,NB,STALLED CLOSED VAN DUE TO MECHANICAL DEFECT,1,CLOSED VAN,MMDA ALERT: Stalled Closed van due to mechanical defect at C5 Ortigas flyover NB as of 8: 58 PM. 1 lane occupied. M… https://t.co/3A3PfaO62F,https://twitter.com/mmda/status/1031529829554741248
8/20/2018,8:58 PM,C5 ORTIGAS FLYOVER,14.589706,121.079945,NB,STALLED CLOSED VAN DUE TO MECHANICAL DEFECT,1,CLOSED VAN,MMDA ALERT: Stalled Closed van due to mechanical defect at C5 Ortigas flyover NB as of 8: 58 PM. 1 lane occupied. M… https://t.co/RMyhtGK32G,https://twitter.com/mmda/status/1031529850941521921
8/20/2018,7:05 AM,EDSA ERMIN GARCIA,14.628035,121.047229,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Ermin Garcia SB as of 7:05 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031682905804656640
8/21/2018,7:05 AM,EDSA ERMIN GARCIA,14.628035,121.047229,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Ermin Garcia SB as of 7:05 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031702349415215105
8/21/2018,9:50 AM,EDSA GUADALUPE PET PLANS,14.566348,121.045356,SB,ONGOING DPWH ROAD PATCHING,1,,MMDA ALERT: Ongoing DPWH road patching at EDSA Guadalupe Pet Plans SB as of 9:50 AM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031722547341971458
8/21/2018,10:00 AM,COMMONWEALTH DILIMAN,14.659263,121.061261,EB,VEHICULAR ACCIDENT,1,2 MC,MMDA ALERT: Vehicular accident at Commonwealth Diliman EB  involving 2 MC as of 10:00 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031727757347053568
8/21/2018,10:30 AM,ROXAS BACLARAN,14.528998,120.993456,SB,ONGOING DPWH FOOTBRIDGE PAINTING,1,,MMDA ALERT: Ongoing DPWH Footbridge Painting at Roxas Baclaran SB as of 10:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031731356345069568
8/21/2018,10:47 AM,C5 EASTWOOD,14.60728,121.078528,SB,VEHICULAR ACCIDENT,1,MC AND SUV,MMDA ALERT: Vehicular accident at C5 Eastwood SB  involving MC and SUV as of 10:47 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1031737089656639489
8/21/2018,12:05 PM,EDSA CABRERA,14.537979,121.004863,SB,ONGOING DPWH ROAD PATCHING,1,,MMDA ALERT: Ongoing DPWH road patching at EDSA Cabrera SB as of 12:05 PM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031756189321682944
8/21/2018,1:28 PM,LACSON F/O,14.609729,120.99272,SB,ONGOING DPWH ASPHALT LAYING,1,,MMDA ALERT: Ongoing DPWH Asphalt laying at Lacson f/o SB as of 1:28 PM. 1 lane occupied.  MMDA on site. #mmda,https://twitter.com/mmda/status/1031778102949494785
8/21/2018,3:03 PM,NORTH AVE. AGHAM,14.653739,121.038708,EB.,VEHICULAR ACCIDENT,2,VAN AND PUJ,MMDA ALERT: Vehicular accident at North Ave. Agham EB. involving van and PUJ as of 3:03 PM. 2 lanes occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1031801277779308544
8/21/2018,6:20 AM,MARCOS HIGHWAY LIGAYA,14.618807,121.092719,WB,VEHICULAR ACCIDENT,1,VAN AND SUV,MMDA ALERT: Vehicular accident at Marcos Highway Ligaya WB  involvingVan and SUV as of 6:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033284534857728
8/21/2018,6:30 AM,QUEZON AVENUE,14.639754,121.030335,WB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmd,https://twitter.com/mmda/status/1032033628551663616
8/21/2018,6:30 AM,QUEZON AVENUE,14.639754,121.030335,WB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033651066724352
8/21/2018,6:39 AM,EDSA AYALA TUNNEL,14.550028,121.029058,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Ayala Tunnel NB as of 6:39 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032035752467554304
8/21/2018,6:41 AM,EDSA NEPA Q-MART,14.627928,121.047259,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Nepa Q-Mart NB  involving Bus and car as of  6:41 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036229607448577
8/21/2018,6:42 AM,EDSA P. TUAZON,14.616404,121.052548,SB,VEHICULAR ACCIDENT,1,2 SUV'S,MMDA ALERT: Vehicular accident at EDSA P. Tuazon SB  involving 2 SUV's as of  6:42 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036565961175040
8/21/2018,6:48 AM,C5 GREENMEADOWS,14.601442,121.079351,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at C5 Greenmeadows SB involving car and Mc as of  6:48 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032040486033219585
8/21/2018,7:16 AM,COMMONWEALTH LUZON,14.66533,121.070469,WB,VEHICULAR ACCIDENT,1,SUV AND PUJ,MMDA ALERT: Vehicular accident at Commonwealth Luzon WB involving SUV and PUJ as of  7:16 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032046835903295488
8/21/2018,7:20 AM,LUZON F/O,14.665241,121.070339,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at Luzon f/o SB involving car and SUV as of  7:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032047326804598784
8/21/2018,7:21 AM,ELLIPTICAL,14.65424,121.049788,DAR,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at Elliptical DAR involving car and van as of 7:21 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032048636073455616
8/21/2018,7:27 AM,EDSA P. TUAZON TUNNEL,14.616404,121.052548,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA P. Tuazon tunnel SB as of 7:27 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032050747511201792
8/21/2018,6:20 AM,MARCOS HIGHWAY LIGAYA,14.618807,121.092719,WB,VEHICULAR ACCIDENT,1,VAN AND SUV,MMDA ALERT: Vehicular accident at Marcos Highway Ligaya WB  involvingVan and SUV as of 6:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033284534857728
8/21/2018,6:30 AM,QUEZON AVENUE,14.639754,121.030335,WB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmd,https://twitter.com/mmda/status/1032033628551663616
8/21/2018,6:30 AM,QUEZON AVENUE,14.639754,121.030335,WB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at Quezon Avenue WB  involving Bus and car as of 6:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032033651066724352
8/21/2018,6:39 AM,EDSA AYALA TUNNEL,14.550028,121.029058,NB,STALLED L300 DUE TO MECHANICAL PROBLEM,1,L300,MMDA ALERT: Stalled L300 due to mechanical problem at EDSA Ayala Tunnel NB as of 6:39 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032035752467554304
8/21/2018,6:41 AM,EDSA NEPA Q-MART,14.627928,121.047259,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Nepa Q-Mart NB  involving Bus and car as of  6:41 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036229607448577
8/21/2018,6:42 AM,EDSA P. TUAZON,14.616404,121.052548,SB,VEHICULAR ACCIDENT,1,2 SUV'S,MMDA ALERT: Vehicular accident at EDSA P. Tuazon SB  involving 2 SUV's as of  6:42 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036565961175040
8/21/2018,6:48 AM,C5 GREENMEADOWS,14.601442,121.079351,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at C5 Greenmeadows SB involving car and Mc as of  6:48 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032040486033219585
8/21/2018,7:16 AM,COMMONWEALTH LUZON,14.66533,121.070469,WB,VEHICULAR ACCIDENT,1,SUV AND PUJ,MMDA ALERT: Vehicular accident at Commonwealth Luzon WB involving SUV and PUJ as of  7:16 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032046835903295488
8/21/2018,7:20 AM,LUZON F/O,14.665241,121.070339,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at Luzon f/o SB involving car and SUV as of  7:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032047326804598784
8/21/2018,7:21 AM,ELLIPTICAL,14.65424,121.049788,DAR,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at Elliptical DAR involving car and van as of 7:21 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032048636073455616
8/21/2018,7:27 AM,EDSA P. TUAZON TUNNEL,14.616404,121.052548,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA P. Tuazon tunnel SB as of 7:27 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032050747511201792
8/21/2018,6:41 AM,EDSA NEPA Q-MART,14.627928,121.047259,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Nepa Q-Mart NB  involving Bus and car as of  6:41 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036229607448577
8/21/2018,6:42 AM,EDSA P. TUAZON,14.616404,121.052548,SB,VEHICULAR ACCIDENT,1,2 SUV'S,MMDA ALERT: Vehicular accident at EDSA P. Tuazon SB  involving 2 SUV's as of  6:42 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036565961175040
8/21/2018,6:48 AM,C5 GREENMEADOWS,14.601442,121.079351,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at C5 Greenmeadows SB involving car and Mc as of  6:48 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032040486033219585
8/21/2018,7:16 AM,COMMONWEALTH LUZON,14.66533,121.070469,WB,VEHICULAR ACCIDENT,1,SUV AND PUJ,MMDA ALERT: Vehicular accident at Commonwealth Luzon WB involving SUV and PUJ as of  7:16 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032046835903295488
8/21/2018,7:20 AM,LUZON F/O,14.665241,121.070339,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at Luzon f/o SB involving car and SUV as of  7:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032047326804598784
8/21/2018,7:21 AM,ELLIPTICAL,14.65424,121.049788,DAR,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at Elliptical DAR involving car and van as of 7:21 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032048636073455616
8/21/2018,7:27 AM,EDSA P. TUAZON TUNNEL,14.616404,121.052548,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA P. Tuazon tunnel SB as of 7:27 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032050747511201792
8/21/2018,6:41 AM,EDSA NEPA Q-MART,14.627928,121.047259,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at EDSA Nepa Q-Mart NB  involving Bus and car as of  6:41 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036229607448577
8/21/2018,6:42 AM,EDSA P. TUAZON,14.616404,121.052548,SB,VEHICULAR ACCIDENT,1,2 SUV'S,MMDA ALERT: Vehicular accident at EDSA P. Tuazon SB  involving 2 SUV's as of  6:42 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032036565961175040
8/21/2018,6:48 AM,C5 GREENMEADOWS,14.601442,121.079351,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at C5 Greenmeadows SB involving car and Mc as of  6:48 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032040486033219585
8/21/2018,7:16 AM,COMMONWEALTH LUZON,14.66533,121.070469,WB,VEHICULAR ACCIDENT,1,SUV AND PUJ,MMDA ALERT: Vehicular accident at Commonwealth Luzon WB involving SUV and PUJ as of  7:16 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032046835903295488
8/21/2018,7:20 AM,LUZON F/O,14.665241,121.070339,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at Luzon f/o SB involving car and SUV as of  7:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032047326804598784
8/21/2018,7:21 AM,ELLIPTICAL,14.65424,121.049788,DAR,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at Elliptical DAR involving car and van as of 7:21 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032048636073455616
8/21/2018,7:27 AM,EDSA P. TUAZON TUNNEL,14.616404,121.052548,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA P. Tuazon tunnel SB as of 7:27 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1032050747511201792
8/22/2018,8:15 AM,EDSA ESTRELLA,14.559818,121.040737,SB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at EDSA Estrella SB involving car and AUV as of 8:15 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032062432057778177
8/22/2018,8:35 AM,EDSA RELIANCE,14.576702,121.050365,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at EDSA Reliance SB involving car and MC as of 8:35 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032067432230281217
8/22/2018,8:58 AM,QUEZON AVE. AGHAM,14.646323,121.040861,WB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at Quezon Ave. Agham WB involving car and AUV as of 8:58 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032072441852354561
8/22/2018,8:59 AM,ROXAS BLVD. BUENDIA AVE.,14.552294,120.989491,NB,VEHICULAR ACCIDENT,1,CAR AND BUS,MMDA ALERT: Vehicular accident at Roxas blvd. Buendia Ave. NB involving car and bus as of 8:59 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032075954338680832
8/22/2018,9:07 AM,MINDANAO ROAD 20,14.671786,121.032319,NB,ONGOING DPWH ROAD PATCHING,1,,MMDA ALERT: Ongoing DPWH Road Patching at Mindanao road 20 NB as of 9:07 AM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1032076101613281280
8/22/2018,8:15 AM,EDSA ESTRELLA,14.559818,121.040737,SB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at EDSA Estrella SB involving car and AUV as of 8:15 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032062432057778177
8/22/2018,8:35 AM,EDSA RELIANCE,14.576702,121.050365,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at EDSA Reliance SB involving car and MC as of 8:35 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032067432230281217
8/22/2018,8:58 AM,QUEZON AVE. AGHAM,14.646323,121.040861,WB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at Quezon Ave. Agham WB involving car and AUV as of 8:58 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032072441852354561
8/22/2018,9:32 AM,B. SERRANO KATIPUNAN TUNNEL,14.61474,121.070685,SB,STALLED VAN DUE TO MECHANICAL PROBLEM,1,VAN,MMDA ALERT: Stalled van due to mechanical problem at B. Serrano Katipunan tunnel SB as of 9:32 AM. 1 lane occupied.… https://t.co/qTdfOdN4AQ,https://twitter.com/mmda/status/1032081665772769280
8/22/2018,10:15 AM,EDSA BUENDIA,14.554949,121.034967,SB,VEHICULAR ACCIDENT,1,TAXI AND BUS,MMDA ALERT: Vehicular accident at EDSA Buendia SB involving taxi and bus as of 10:15 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032094428347822081
8/22/2018,10:37 AM,EDSA BUENDIA SPLIT,14.555822,121.035928,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at EDSA Buendia Split SB involving car and SUV as of 10:37 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1032099200312401925
